code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
603127,昭衍新药,自动发现,今日自动发现,49.12,4.51,44.28,49.4,42.5,47.0,361250.0,12.39,1.05,20260721161443,0.9594202898550723,-0.5668016194331993,15.576470588235281,10.930442637759707,,C,50.0,4.51,55.12,100.0,0.0,0.0,,False,0.0,0,,回避,当前无优势,100.0,0,未知,100.0,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
301217,铜冠铜箔,自动发现,今日自动发现,107.54,4.17,90.0,109.47,82.59,103.24,709123.0,9.19,2.13,20260721161451,0.928199404761905,-1.7630401023111308,30.20946845865118,19.488888888888887,,C,50.0,4.17,55.7,100.0,0.0,0.0,,False,0.0,0,,回避,当前无优势,100.0,0,未知,100.0,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300017,网宿科技,自动发现,今日自动发现,14.96,4.98,14.15,14.97,13.81,14.25,362155.0,10.63,1.29,20260721161424,0.9913793103448277,-0.06680026720107257,8.327299058653148,5.72438162544171,,C,50.0,4.98,55.12,95.62,0.0,0.0,,False,0.0,0,,回避,当前无优势,95.62,0,未知,98.62,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300450,先导智能,自动发现,今日自动发现,32.76,4.76,31.4,32.78,31.11,31.27,191676.0,3.83,1.45,20260721161421,0.9880239520958065,-0.061012812690675045,5.303760848601735,4.331210191082802,,C,50.0,4.76,54.57,92.92,0.0,0.0,,False,0.0,0,,回避,当前无优势,92.92,0,未知,95.92,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
688578,艾力斯,自动发现,今日自动发现,133.0,4.38,124.88,134.6,122.8,127.42,216120.0,3.75,1.11,20260721161458,0.8644067796610174,-1.1887072808320909,8.306188925081436,6.502242152466375,,C,50.0,4.38,54.67,92.73,0.0,0.0,,False,0.0,0,,回避,当前无优势,92.73,0,未知,95.73,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300458,全志科技,自动发现,今日自动发现,37.53,4.48,35.71,37.72,34.13,35.92,378866.0,12.8,1.1,20260721161409,0.9470752089136496,-0.5037115588547136,9.961910342806913,5.096611593391209,,C,50.0,4.48,55.16,92.6,0.0,0.0,,False,0.0,0,,回避,当前无优势,92.6,0,未知,95.6,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002466,天齐锂业,自动发现,今日自动发现,43.69,3.31,40.99,43.78,40.44,42.29,319588.0,5.1,1.06,20260721161442,0.9730538922155678,-0.20557332115122007,8.036597428288816,6.586972432300553,,C,50.0,3.31,55.01,91.86,0.0,0.0,,False,0.0,0,,回避,当前无优势,91.86,0,未知,94.86,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300085,银之杰,自动发现,今日自动发现,31.74,4.3,30.13,31.97,29.26,30.43,241541.0,11.99,1.13,20260721161400,0.9151291512915126,-0.7194244604316613,8.475734791524259,5.343511450381677,,C,50.0,4.3,54.77,91.81,0.0,0.0,,False,0.0,0,,回避,当前无优势,91.81,0,未知,94.81,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
600909,华安证券,自动发现,今日自动发现,8.45,4.58,8.08,8.5,7.79,8.08,227027.0,5.55,1.02,20260721161456,0.9295774647887314,-0.5882352941176561,8.472400513478817,4.579207920792072,,C,50.0,4.58,54.71,91.77,0.0,0.0,,False,0.0,0,,回避,当前无优势,91.77,0,未知,94.77,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300738,奥飞数据,自动发现,今日自动发现,21.78,4.21,20.7,21.92,20.12,20.9,200487.0,9.65,1.41,20260721161442,0.9222222222222219,-0.6386861313868675,8.250497017892645,5.21739130434784,,C,50.0,4.21,54.6,91.48,0.0,0.0,,False,0.0,0,,回避,当前无优势,91.48,0,未知,94.48,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
