code,name,sector,source,score,add_date,last_seen
688256,寒武纪,国产AI芯片,快吃肉候选,89.68,2026-08-17,2026-08-17
002371,北方华创,半导体设备,快吃肉候选,87.94,2026-08-17,2026-08-17
688012,中微公司,半导体设备,快吃肉候选,87.42,2026-08-17,2026-08-17
601899,紫金矿业,有色金属,快吃肉候选,76.86,2026-08-17,2026-08-17
688981,中芯国际,晶圆制造,快吃肉候选,86.84,2026-08-17,2026-08-17
600276,恒瑞医药,创新药,快吃肉候选,78.43,2026-08-17,2026-08-17
601088,中国神华,煤炭,快吃肉候选,77.83,2026-08-17,2026-08-17
300394,天孚通信,光模块/CPO,快吃肉候选,73.24,2026-08-17,2026-08-17
601318,中国平安,保险,趋势候选,70.59,2026-08-17,2026-08-17
601138,工业富联,AI服务器,趋势候选,68.1,2026-08-17,2026-08-17
600036,招商银行,银行,趋势候选,67.0,2026-08-17,2026-08-17
688041,海光信息,国产AI芯片,趋势候选,66.23,2026-08-17,2026-08-17
002353,杰瑞股份,自动发现,消息面禁买,87.04,2026-08-17,2026-08-17
000831,中国稀土,自动发现,消息面禁买,72.34,2026-08-17,2026-08-17
301165,锐捷网络,自动发现,消息面禁买,71.09,2026-08-17,2026-08-17
301308,江波龙,自动发现,消息面禁买,69.32,2026-08-17,2026-08-17
300502,新易盛,光模块/CPO,快吃肉候选,86.38,2026-08-14,2026-08-14
300308,中际旭创,光模块/CPO,快吃肉候选,77.57,2026-08-14,2026-08-14
002916,深南电路,PCB,快吃肉候选,74.66,2026-08-12,2026-08-12
600536,中国软件,软件,持仓保留,65.36,2026-08-12,2026-08-12
600363,联创光电,自动发现,消息面禁买,88.95,2026-08-12,2026-08-12
300285,国瓷材料,自动发现,消息面禁买,67.24,2026-08-12,2026-08-12
002138,顺络电子,自动发现,消息面禁买,74.72,2026-08-11,2026-08-11
300738,奥飞数据,自动发现,消息面禁买,68.16,2026-08-11,2026-08-11
000603,盛达资源,自动发现,消息面禁买,82.41,2026-08-10,2026-08-10
300209,行云科技,自动发现,消息面禁买,66.34,2026-08-10,2026-08-10
300750,宁德时代,自动发现,消息面禁买,71.42,2026-08-05,2026-08-05
002415,海康威视,自动发现,消息面禁买,71.18,2026-08-04,2026-08-04
