code,name,hard_bad_news,event_risk,event_boost,note,expire_date,source,url
000651,格力电器,0,4.0,0.0,2026-07-16公告：格力电器:关于持股5%以上股东股份补充质押的公告,2026-07-30,东方财富公告,
000858,五粮液,0,0.0,4.0,2026-07-16公告：五粮液:关于2025年度分红派息实施后调整回购股份价格上限的公告,2026-07-25,东方财富公告,
002050,三花智控,0,0.0,12.0,2026-07-18公告：三花智控:北京市中伦律师事务所关于浙江三花智能控制股份有限公司2024年限制性股票激励计划调整回购价格及回购注销部分限制性股票的法律意见书；2026-07-18公告：三花智控:关于2024年限制性股票激励计划调整回购价格的公告；2026-07-18公告：三花智控:关于回购注销部分限制性股票的公告,2026-07-25,东方财富公告,
002896,中大力德,0,4.0,0.0,2026-07-16公告：中大力德:关于控股股东及其一致行动人股份减持计划提前结束暨减持结果的公告,2026-07-30,东方财富公告,
600183,生益科技,0,0.0,4.0,2026-07-14公告：生益科技:生益科技2026年半年度业绩预增公告,2026-07-25,东方财富公告,
600188,兖矿能源,0,0.0,4.0,2026-07-15公告：兖矿能源:兖矿能源集团股份有限公司2026年半年度业绩预增公告,2026-07-25,东方财富公告,
600489,中金黄金,0,0.0,4.0,2026-07-14公告：中金黄金:中金黄金股份有限公司2026年半年度业绩预增公告,2026-07-25,东方财富公告,
600584,长电科技,0,0.0,4.0,2026-07-15公告：长电科技:江苏长电科技股份有限公司2026年半年度业绩预增公告,2026-07-25,东方财富公告,
600760,中航沈飞,0,4.0,0.0,2026-07-15公告：中航沈飞:中航沈飞股份有限公司2026年半年度业绩预减公告,2026-07-30,东方财富公告,
600887,伊利股份,0,4.0,0.0,2026-07-15公告：伊利股份:内蒙古伊利实业集团股份有限公司关于股东股份质押公告,2026-07-30,东方财富公告,
601127,赛力斯,0,0.0,8.0,2026-07-15公告：赛力斯:关于公司董事、高级管理人员及骨干团队增持A股及H股股份计划公告；2026-07-14公告：赛力斯:关于控股股东增持计划的公告,2026-07-25,东方财富公告,
601688,华泰证券,0,0.0,4.0,2026-07-15公告：华泰证券:华泰证券股份有限公司2026年半年度业绩预增公告,2026-07-25,东方财富公告,
603288,海天味业,0,0.0,8.0,2026-07-15公告：海天味业:海天味业关于回购注销股份、减少注册资本暨通知债权人的公告；2026-07-15公告：海天味业:海天味业关于以集中竞价交易方式回购A股股份的回购报告书,2026-07-25,东方财富公告,
603501,豪威集团,0,8.0,0.0,2026-07-17公告：豪威集团:关于控股股东部分股权质押及解除质押的公告；2026-07-15公告：豪威集团:关于控股股东部分股权质押的公告,2026-07-30,东方财富公告,
688008,澜起科技,0,0.0,8.0,2026-07-17公告：澜起科技:澜起科技2026年半年度业绩预增的自愿性公告；2026-07-17公告：澜起科技:澜起科技关于董事长兼首席执行官提议公司回购A股股份的公告,2026-07-25,东方财富公告,
688019,安集科技,0,4.0,0.0,2026-07-16公告：安集科技:部分董事及高级管理人员减持股份结果公告,2026-07-30,东方财富公告,
688271,联影医疗,0,0.0,4.0,2026-07-14公告：联影医疗:联影医疗关于2025年年度权益分派实施后调整回购价格上限的公告,2026-07-25,东方财富公告,
