symbol,code,name,price,pre_close,open,high,low,pct,change,amount,turnover,volume_ratio,quote_time
sh688981,688981,中芯国际,123.28,125.45,122.0,126.99,121.88,-1.73,-2.17,616888.0,2.49,0.74,20260806144735
sz002371,002371,北方华创,739.39,734.2,717.5,764.68,709.0,0.71,5.19,759357.0,1.41,0.75,20260806144736
sh688012,688012,中微公司,361.89,358.0,348.0,373.44,347.55,1.09,3.89,1026719.0,3.02,0.88,20260806144735
sh688041,688041,海光信息,290.9,288.85,283.32,294.8,282.32,0.71,2.05,447199.0,0.66,0.62,20260806144736
sh688256,688256,寒武纪,1158.35,1136.9,1103.0,1185.0,1095.0,1.89,21.45,1356540.0,1.89,0.73,20260806144735
sz300308,300308,中际旭创,953.49,947.74,901.02,995.0,882.55,0.61,5.75,3836553.0,3.68,0.76,20260806144736
sz300502,300502,新易盛,420.19,424.3,413.0,439.84,397.09,-0.97,-4.11,2071172.0,3.94,0.71,20260806144736
sz300394,300394,天孚通信,224.79,216.85,208.0,228.0,202.0,3.66,7.94,1414233.0,5.99,1.03,20260806144736
sh601138,601138,工业富联,68.29,65.92,65.55,69.8,64.87,3.6,2.37,1592728.0,1.18,1.45,20260806144735
sz002916,002916,深南电路,352.93,349.18,340.0,367.29,338.08,1.07,3.75,367043.0,1.56,0.86,20260806144736
sh600536,600536,中国软件,32.76,33.53,33.01,33.94,32.43,-2.3,-0.77,85229.0,3.05,1.1,20260806144736
sh601088,601088,中国神华,43.92,43.0,42.9,44.27,42.9,2.14,0.92,163627.0,0.23,1.03,20260806144736
sh601318,601318,中国平安,53.52,54.02,54.0,54.21,53.16,-0.93,-0.5,339653.0,0.6,0.74,20260806144737
sh600036,600036,招商银行,38.99,38.94,39.0,39.15,38.47,0.13,0.05,317366.0,0.4,0.7,20260806144735
sh600276,600276,恒瑞医药,52.02,53.54,53.65,53.81,52.0,-2.84,-1.52,447773.0,1.33,1.34,20260806144735
sh601899,601899,紫金矿业,34.51,34.1,35.38,35.8,34.15,1.2,0.41,1363087.0,1.89,1.44,20260806144735
sz300285,300285,国瓷材料,68.44,67.27,64.51,70.33,62.8,1.74,1.17,1176370.0,20.53,1.13,20260806144736
sz002138,002138,顺络电子,48.06,49.6,48.52,49.83,47.11,-3.1,-1.54,171549.0,4.63,0.68,20260806144736
sz300209,300209,行云科技,33.81,36.97,35.19,37.35,33.66,-8.55,-3.16,732597.0,27.75,1.52,20260806144736
sz300738,300738,奥飞数据,22.86,23.62,23.03,23.48,22.73,-3.22,-0.76,176822.0,7.8,0.95,20260806144736
sz300750,300750,宁德时代,388.01,405.2,410.0,410.0,384.16,-4.24,-17.19,1704678.0,1.02,1.41,20260806144736
sz002415,002415,海康威视,37.39,38.44,38.09,38.15,37.12,-2.73,-1.05,358382.0,1.06,0.78,20260806144736
sz002281,002281,光迅科技,174.9,171.55,165.39,180.0,162.0,1.95,3.35,834381.0,6.14,1.11,20260806144736
sz002463,002463,沪电股份,116.99,115.6,112.74,121.87,112.01,1.2,1.39,663854.0,2.95,0.86,20260806144736
