recommend_time,code,name,sector,price,signal,market_mode,etf_grade,score,status,last_price,max_return,min_return,days
2026-08-27 21:47:51,600549,厦门钨业,自动发现,54.8,A级-回避,强势进攻日,C,88.7,open,54.59,0.0,-0.3832,2
2026-08-27 19:14:49,600584,长电科技,自动发现,76.54,A级-回避,强势进攻日,C,89.1,open,74.93,0.0,-2.1035,2
2026-08-27 19:14:49,600276,恒瑞医药,创新药,47.61,A级-快吃肉候选,强势进攻日,A,88.8,open,47.32,0.0,-0.6091,2
2026-08-27 16:11:19,688836,宇树科技,自动发现,615.03,A级-回避,强势进攻日,C,94.42,open,615.03,0.0,0.0,1
2026-08-27 16:11:19,000938,紫光股份,自动发现,36.43,A级-回避,强势进攻日,C,93.55,open,35.89,0.0,-1.4823,2
2026-08-27 16:11:19,300136,信维通信,自动发现,62.07,A级-回避,强势进攻日,C,93.01,open,60.34,0.0,-2.7872,2
2026-08-27 16:11:19,000725,京东方Ａ,自动发现,5.94,A级-回避,强势进攻日,C,91.61,open,5.92,0.0,-0.3367,2
2026-08-27 16:11:19,002156,通富微电,自动发现,63.73,A级-回避,强势进攻日,C,91.6,open,63.75,0.0314,0.0,2
2026-08-27 16:11:19,600105,永鼎股份,自动发现,41.0,A级-回避,强势进攻日,C,90.86,open,39.8,0.0,-2.9268,2
2026-08-26 15:45:51,688008,澜起科技,自动发现,201.0,A级-回避,普通轮动日,C,79.69,open,213.0,5.9701,0.0,3
2026-08-26 15:45:51,688630,芯碁微装,自动发现,430.6,A级-回避,普通轮动日,C,78.72,open,438.6,1.8579,0.0,2
2026-08-26 14:55:58,600036,招商银行,银行,39.93,A级-快吃肉候选,普通轮动日,B,82.87,open,39.35,0.0,-1.4525,3
2026-08-26 14:55:58,301205,联特科技,自动发现,314.19,A级-回避,普通轮动日,C,82.82,open,320.85,4.8728,-0.9548,3
2026-08-26 11:56:07,600110,诺德股份,自动发现,11.77,A级-回避,强势进攻日,C,94.14,open,11.6,0.0,-1.4444,2
2026-08-26 11:56:07,600497,驰宏锌锗,自动发现,10.41,A级-回避,强势进攻日,C,90.48,open,10.53,1.1527,-0.5764,2
2026-08-26 11:56:07,002916,深南电路,PCB,350.4,A级-快吃肉候选,强势进攻日,B,90.35,open,362.4,4.1952,-0.6764,3
2026-08-26 11:56:07,688072,拓荆科技,自动发现,678.74,A级-回避,强势进攻日,C,89.77,open,693.0,2.101,-0.5422,2
2026-08-26 11:56:07,300274,阳光电源,自动发现,112.76,A级-回避,强势进攻日,C,88.93,open,97.69,0.0532,-13.3647,3
2026-08-26 10:41:57,300604,长川科技,自动发现,275.74,A级-回避,强势进攻日,C,96.57,open,277.11,3.2857,0.0,3
2026-08-26 10:41:57,601899,紫金矿业,有色金属,35.3,A级-快吃肉候选,强势进攻日,S,95.45,open,34.65,0.0,-2.3513,3
2026-08-26 10:41:57,000426,兴业银锡,自动发现,41.47,A级-回避,强势进攻日,C,94.85,open,41.58,0.2653,-2.966,3
2026-08-26 10:41:57,688012,中微公司,半导体设备,362.63,A级-快吃肉候选,强势进攻日,B,92.45,open,367.0,3.6897,0.0,3
2026-08-26 10:41:57,000630,铜陵有色,自动发现,6.75,A级-回避,强势进攻日,C,92.01,open,6.76,0.2963,0.0,3
2026-08-26 10:41:57,601318,中国平安,保险,55.94,A级-快吃肉候选,强势进攻日,A,91.71,open,55.85,0.5363,-0.3933,3
2026-08-26 10:41:57,688981,中芯国际,晶圆制造,122.44,A级-快吃肉候选,强势进攻日,B,90.94,open,125.88,3.1771,0.0,3
2026-08-26 10:41:57,603799,华友钴业,自动发现,40.44,A级-回避,强势进攻日,C,88.81,open,39.97,0.0,-1.1622,0
2026-08-25 14:50:37,603986,兆易创新,自动发现,397.02,B级-回避,弱势反弹日,C,79.32,open,396.82,3.5716,-1.1385,4
2026-08-25 14:50:37,601869,长飞光纤,自动发现,397.8,B级-回避,弱势反弹日,C,78.49,open,422.36,6.174,-2.4585,4
2026-08-25 14:50:37,600498,烽火通信,自动发现,40.66,B级-回避,弱势反弹日,C,72.03,open,41.18,1.2789,-2.6808,4
2026-08-25 14:50:37,603259,药明康德,自动发现,160.61,B级-回避,弱势反弹日,C,70.27,open,157.4,0.2428,-1.9986,4
2026-08-25 14:50:37,603186,华正新材,自动发现,173.71,B级-回避,弱势反弹日,C,69.47,open,183.6,5.6934,0.0,4
2026-08-25 14:50:37,000988,华工科技,自动发现,105.58,B级-回避,弱势反弹日,C,68.78,open,102.93,0.0,-2.5099,4
2026-08-25 10:38:08,600522,中天科技,自动发现,33.97,B级-回避,极端风险日,C,56.12,open,35.04,3.1498,-2.2373,4
2026-08-25 10:38:08,603618,杭电股份,自动发现,29.05,B级-回避,极端风险日,C,55.41,open,35.92,23.6489,-1.3081,4
2026-08-25 10:38:08,688256,寒武纪,国产AI芯片,1005.53,B级-回避,极端风险日,C,55.16,open,1046.63,4.2236,-0.6902,4
2026-08-21 15:32:41,688110,东芯股份,自动发现,120.7,A级-回避,普通轮动日,C,79.51,loss,118.35,0.0,-4.5319,7
2026-08-21 15:32:41,000636,风华高科,自动发现,54.67,A级-回避,普通轮动日,C,79.06,loss,55.45,1.4267,-6.7679,8
2026-08-21 14:44:59,600547,XD山东黄,自动发现,37.04,A级-回避,强势进攻日,C,94.2,loss,35.49,0.027,-6.8844,8
2026-08-21 14:44:59,002636,金安国纪,自动发现,63.91,A级-回避,强势进攻日,C,89.25,loss,73.18,14.5048,-1.2674,8
2026-08-21 14:44:59,601318,中国平安,保险,53.42,A级-快吃肉候选,强势进攻日,B,89.0,win,55.85,5.2789,-0.131,8
2026-08-21 14:44:59,000792,盐湖股份,自动发现,28.8,A级-回避,强势进攻日,C,88.75,loss,28.38,0.1389,-2.2569,8
2026-08-21 14:44:59,000657,中钨高新,自动发现,67.96,A级-回避,强势进攻日,C,87.22,loss,66.76,0.2649,-7.2837,8
2026-08-21 11:50:19,002851,麦格米特,自动发现,123.2,A级-回避,普通轮动日,C,84.11,loss,125.95,3.6201,-2.9951,8
