code,name,sector,risk_level,reason,add_date,expire_date
600036,招商银行,银行,橙,沪深300ETF为D级，停止新增；橙色：趋势破坏，暂停新开仓,2026-07-31,2026-08-10
300502,新易盛,光模块/CPO,红,爆雷指数超过阈值，禁止追入；橙色：趋势破坏，暂停新开仓,2026-07-31,2026-08-10
688126,沪硅产业,自动发现,红,爆雷指数超过阈值，禁止追入；,2026-07-31,2026-08-10
601088,中国神华,煤炭,橙,煤炭ETF为E级，停止新增；正常,2026-07-31,2026-08-10
603986,兆易创新,自动发现,红,爆雷指数超过阈值，禁止追入；,2026-07-31,2026-08-10
601318,中国平安,保险,橙,沪深300ETF为D级，停止新增；橙色：趋势破坏，暂停新开仓,2026-07-31,2026-08-10
601899,紫金矿业,有色金属,橙,有色金属ETF为D级，停止新增；橙色：趋势破坏，暂停新开仓,2026-07-31,2026-08-10
300223,北京君正,自动发现,红,爆雷指数超过阈值，禁止追入；,2026-07-31,2026-08-10
603256,宏和科技,自动发现,红,爆雷指数超过阈值，禁止追入；,2026-07-31,2026-08-10
688110,东芯股份,自动发现,红,爆雷指数超过阈值，禁止追入；,2026-07-31,2026-08-10
