code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,event_unknown,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
688836,宇树科技,自动发现,今日自动发现,615.03,3.97,588.0,615.05,582.0,591.53,379545.0,21.07,0.81,20260827161441,0.9993948562783667,-0.0032517681489263595,5.6752577319587605,4.596938775510195,,C,50.0,3.97,55.16,91.42,0.0,10.0,换手率偏高,False,0.0,0,,0.0,False,False,回避,当前无优势,91.42,0,未知,94.42,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
603986,兆易创新,自动发现,今日自动发现,411.2,4.76,397.01,412.0,394.58,392.5,1654266.0,6.09,1.11,20260827161450,0.9540757749712967,-0.1941747572815511,4.212073597242649,3.5742172741240807,,C,50.0,4.76,48.44,90.05,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：兆易创新:兆易创新关于召开2026年半年度业绩说明会的公告；近期业绩公告：兆易创新:兆易创新2026年半年度报告摘要；近期业绩公告：兆易创新:兆易创新2026年半年度报告,8.0,False,False,回避,当前无优势,90.05,0,未知,93.05,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300136,信维通信,自动发现,今日自动发现,62.07,4.11,59.7,62.2,59.51,59.62,213262.0,4.23,0.86,20260827161454,0.9516728624535308,-0.20900321543408928,4.3017980171399905,3.9698492462311608,,C,50.0,4.11,54.66,90.01,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,90.01,0,未知,93.01,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000725,京东方Ａ,自动发现,今日自动发现,5.94,3.85,5.75,5.95,5.74,5.72,797564.0,3.84,1.11,20260827161412,0.9523809523809534,-0.1680672268907557,3.4843205574912828,3.304347826086973,,C,50.0,3.85,55.8,88.61,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,88.61,0,未知,91.61,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002156,通富微电,自动发现,今日自动发现,63.73,4.05,61.88,63.87,61.14,61.25,544488.0,5.7,0.99,20260827161457,0.9487179487179485,-0.2191952403319264,4.236179260713113,2.9896574014220967,,C,50.0,4.05,55.47,88.6,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,88.6,0,未知,91.6,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600105,永鼎股份,自动发现,今日自动发现,41.0,4.75,39.49,41.39,39.22,39.14,621774.0,10.46,1.28,20260827161452,0.8202764976958524,-0.9422565837158725,4.538500764915865,3.8237528488224815,,C,50.0,4.75,47.59,87.86,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：永鼎股份:永鼎股份2026年半年度报告；近期业绩公告：永鼎股份:永鼎股份2026年半年度报告摘要；近期业绩公告：永鼎股份:永鼎股份关于召开2026年半年度业绩暨现金分红说明会的公告,8.0,False,False,回避,当前无优势,87.86,0,未知,90.86,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600584,长电科技,自动发现,今日自动发现,76.54,3.97,74.28,76.82,73.95,73.62,737810.0,5.45,1.0,20260827161454,0.9024390243902481,-0.3644884144753835,3.5023664638269114,3.0425417339795535,,C,50.0,3.97,47.74,86.1,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：长电科技:江苏长电科技股份有限公司2026年半年度报告；近期业绩公告：长电科技:江苏长电科技股份有限公司2026年半年度报告摘要,8.0,False,False,回避,当前无优势,86.1,0,未知,89.1,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600276,恒瑞医药,创新药,核心池,47.61,1.86,46.78,47.62,46.5,46.74,366719.0,1.22,0.64,20260827161442,0.9910714285714304,-0.02099958000839619,2.3870967741935534,1.7742625053441596,医疗ETF,A,70.13,1.57,59.13,83.8,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：恒瑞医药:恒瑞医药2026年半年度报告摘要；近期业绩公告：恒瑞医药:恒瑞医药2026年半年度报告,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,83.8,10,启动,88.8,A,所属ETF强；明显强于行业；价格接近日内强势区；开盘后仍有承接；当日未明显追高；板块处于启动阶段,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600549,厦门钨业,自动发现,今日自动发现,54.8,4.14,52.1,54.89,52.1,52.62,297958.0,3.55,1.09,20260827161500,0.9677419354838698,-0.16396429222080844,5.182341650671773,5.182341650671773,,C,50.0,4.14,22.95,85.7,0.0,32.0,事件风险+32,False,0.0,0,近期业绩公告：厦门钨业:厦门钨业2026年半年度报告；风险公告：厦门钨业:厦门钨业关于2026年半年度计提资产减值准备的公告；近期业绩公告：厦门钨业:厦门钨业2026年半年度报告摘要；近期业绩公告：厦门钨业:厦门钨业关于控股子公司厦钨新能披露其2026年半年度报告的提示性公告,32.0,False,False,回避,当前无优势,85.7,0,未知,88.7,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
301165,锐捷网络,自动发现,历史动态池,120.25,4.51,119.01,120.9,116.03,115.06,226413.0,1.71,1.03,20260827161421,0.866529774127309,-0.5376344086021501,3.63699043350858,1.0419292496428811,,C,50.0,4.51,54.71,85.59,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.59,0,未知,88.59,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300604,长川科技,自动发现,今日自动发现,284.8,3.11,276.0,286.0,274.05,276.2,400391.0,2.91,0.89,20260827161427,0.8995815899581598,-0.41958041958041203,3.922641853676345,3.1884057971014457,,C,50.0,3.11,55.2,85.37,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.37,0,未知,88.37,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002851,麦格米特,自动发现,今日自动发现,127.66,3.7,125.8,128.0,123.12,123.11,367280.0,5.94,1.11,20260827161409,0.9303278688524582,-0.26562500000000266,3.6874593892137764,1.4785373608902974,,C,50.0,3.7,55.13,85.16,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.16,0,未知,88.16,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300058,蓝色光标,自动发现,今日自动发现,13.55,3.12,13.24,13.57,13.13,13.14,300333.0,6.43,1.28,20260827161412,0.9545454545454555,-0.14738393515106862,3.1987814166031914,2.3413897280966767,,C,50.0,3.12,54.96,85.14,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.14,0,未知,88.14,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688110,东芯股份,自动发现,今日自动发现,118.35,4.37,114.44,119.74,114.0,113.4,217803.0,4.2,0.98,20260827161452,0.7578397212543551,-1.1608485050943695,3.8157894736841946,3.4166375393219095,,C,50.0,4.37,46.68,84.98,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：东芯股份:2026年半年度业绩暨现金分红说明会；近期业绩公告：东芯股份:2026年半年度报告摘要；近期业绩公告：东芯股份:2026年半年度报告,8.0,False,False,回避,当前无优势,84.98,0,未知,87.98,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688825,长鑫科技,自动发现,今日自动发现,59.12,5.38,56.65,59.3,56.2,56.1,1883942.0,7.21,1.24,20260827161451,0.9419354838709677,-0.30354131534570117,5.1957295373665335,4.3601059135039755,,C,50.0,5.38,56.55,94.26,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,94.26,0,未知,87.26,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
603083,剑桥科技,自动发现,今日自动发现,198.21,3.86,193.0,201.0,183.83,190.85,717054.0,13.51,1.62,20260827161446,0.837507280139779,-1.3880597014925389,7.822444649948324,2.6994818652849695,,C,50.0,3.86,47.71,84.18,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：剑桥科技:2026年半年度报告摘要；近期业绩公告：剑桥科技:2026年半年度报告；近期业绩公告：剑桥科技:关于召开2026年半年度业绩说明会的公告,8.0,False,False,回避,当前无优势,84.18,0,未知,87.18,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
