kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location,etf_score,grade,breadth,median_stock_pct,relative_strength,drawdown_from_recent_peak,alert,life_stage,stage_advice
etf,sh588200,588200,科创芯片ETF,1.144,4.76,1.092,1.155,1.092,1.092,259371.0,20260916135916,0.8253968253968234,96.85,S,100.0,5.21,4.0,0.0,正常,高潮,强但不宜追高，等分歧回踩
etf,sh515880,515880,通信ETF,0.683,4.59,0.653,0.692,0.653,0.653,285340.0,20260916135914,0.7692307692307714,95.08,S,100.0,4.58,3.83,0.0,正常,高潮,强但不宜追高，等分歧回踩
etf,sh512480,512480,半导体ETF,1.004,4.15,0.965,1.012,0.962,0.964,124235.0,20260916135916,0.84,94.65,S,100.0,4.9,3.39,-0.59,正常,高潮,强但不宜追高，等分歧回踩
etf,sh512760,512760,芯片ETF,1.064,3.91,1.024,1.072,1.021,1.024,34007.0,20260916135915,0.8431372549019611,79.13,A,50.0,3.91,3.15,-0.84,正常,启动,可观察，等待持续性确认
etf,sh515980,515980,人工智能ETF,0.998,2.25,0.971,1.005,0.971,0.976,20184.0,20260916135916,0.7941176470588261,75.56,A,100.0,2.53,1.49,-3.01,正常,发酵,主线候选，优先选未大涨个股
etf,sh512400,512400,有色金属ETF,1.755,1.74,1.727,1.76,1.7,1.725,59219.0,20260916135915,0.9166666666666649,74.73,A,100.0,1.74,0.98,-8.26,黄色：高位降温，停止追高,发酵,主线候选，优先选未大涨个股
etf,sh512170,512170,医疗ETF,0.334,0.6,0.333,0.337,0.331,0.332,28047.0,20260916135916,0.5,64.62,B,100.0,0.6,-0.16,-2.05,正常,启动,可观察，等待持续性确认
etf,sh515220,515220,煤炭ETF,1.27,0.0,1.266,1.274,1.251,1.27,51865.0,20260916135916,0.82608695652174,57.96,C,100.0,0.26,-0.76,-5.29,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh515790,515790,光伏ETF,0.797,1.27,0.786,0.8,0.781,0.787,7812.0,20260916135914,0.8421052631578947,57.79,C,50.0,1.27,0.51,-2.69,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh512880,512880,证券ETF,1.055,0.76,1.047,1.058,1.038,1.047,122207.0,20260916135916,0.8499999999999944,55.71,C,50.0,0.76,0.0,-4.52,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh515400,515400,大数据ETF,0.825,0.98,0.813,0.83,0.808,0.817,4189.0,20260916135916,0.7727272727272716,55.68,C,50.0,0.98,0.22,-5.39,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh518880,518880,黄金ETF,8.895,0.75,8.828,8.924,8.804,8.829,398686.0,20260916135915,0.7583333333333324,54.52,C,50.0,0.75,-0.01,-2.94,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh516820,516820,机器人ETF,0.339,0.0,0.339,0.342,0.337,0.339,1261.0,20260916135914,0.4,46.81,C,50.0,0.0,-0.76,-3.14,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh512660,512660,军工ETF,1.147,0.7,1.139,1.151,1.132,1.139,18575.0,20260916135915,0.7894736842105275,46.29,C,50.0,0.7,-0.06,-2.8,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh515030,515030,新能源车ETF,1.485,0.13,1.476,1.49,1.45,1.483,9450.0,20260916135914,0.8750000000000028,44.94,D,50.0,0.13,-0.63,-5.65,橙色：趋势破坏，暂停新开仓,震荡,等待方向，不强行交易
etf,sh512690,512690,酒ETF,0.409,-0.24,0.41,0.41,0.405,0.41,25138.0,20260916135914,0.7999999999999978,42.42,D,50.0,-0.24,-1.0,-5.76,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh516510,516510,云计算ETF,1.611,1.26,1.585,1.621,1.574,1.591,8086.0,20260916135915,0.787234042553191,42.15,D,0.0,0.0,0.5,-4.39,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh510880,510880,红利ETF,3.37,-0.35,3.385,3.393,3.343,3.382,39693.0,20260916135915,0.5400000000000046,38.68,D,50.0,-0.35,-1.11,-3.66,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh510300,510300,沪深300ETF,4.549,0.57,4.522,4.555,4.485,4.523,360959.0,20260916135916,0.914285714285723,32.61,D,0.0,-0.41,-0.19,-1.9,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
