code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,held,cost,position_pnl,event_note,signal,action,final_score,priority
600188,兖矿能源,煤炭,核心池,20.79,10.0,19.0,20.79,19.0,18.9,150790.0,1.24,1.13,20260720161433,1.0,0.0,9.421052631578952,9.421052631578952,煤炭ETF,S,96.6,3.41,66.36,79.35,0.0,False,0,0,,快吃肉候选,仅小仓1手；尾盘确认后介入,79.35,9
688111,金山办公,软件,核心池,244.27,9.29,229.95,245.0,223.96,223.5,385188.0,3.53,1.47,20260720161456,0.9653041825095062,-0.2979591836734685,9.068583675656372,6.227440747988711,云计算ETF,A,80.14,5.79,67.17,75.47,0.0,False,0,0,,趋势候选,强ETF中的强股，可小仓等待回踩,75.47,8
601318,中国平安,保险,核心池,53.23,4.99,50.72,53.27,50.71,50.7,921252.0,1.65,1.8,20260720161456,0.9843749999999976,-0.07508916838747659,4.9694340366791545,4.948738170347,沪深300ETF,A,71.21,3.66,67.93,73.55,0.0,False,0,0,,趋势候选,强ETF中的强股，可小仓等待回踩,73.55,8
603259,药明康德,CXO,核心池,124.22,5.37,117.74,124.78,117.01,117.89,848473.0,2.8,0.83,20260720161442,0.9279279279279276,-0.4487898701715065,6.161866507136127,5.503652114829283,医疗ETF,A,78.46,2.85,67.86,73.55,0.0,False,0,0,,趋势候选,强ETF中的强股，可小仓等待回踩,73.55,8
600519,贵州茅台,白酒消费,核心池,1327.5,5.95,1270.0,1329.0,1266.0,1253.0,1389835.0,0.85,2.01,20260720161434,0.9761904761904762,-0.11286681715575453,4.857819905213279,4.527559055118102,酒ETF,S,88.07,1.35,68.29,72.26,0.0,False,0,0,,趋势候选,强ETF中的强股，可小仓等待回踩,72.26,8
688271,联影医疗,医疗器械,核心池,118.0,7.09,109.09,119.85,107.89,110.19,158683.0,1.69,1.69,20260720161448,0.8453177257525087,-1.5435961618689986,9.370655297061825,8.167568063067199,医疗ETF,A,78.46,4.57,66.4,71.96,0.0,False,0,0,,趋势候选,强ETF中的强股，可小仓等待回踩,71.96,8
600276,恒瑞医药,创新药,核心池,55.57,4.47,52.97,55.78,52.9,53.19,621472.0,1.78,0.91,20260720161450,0.9270833333333331,-0.3764790247400507,5.04725897920606,4.908438738908827,医疗ETF,A,78.46,1.95,71.59,70.97,0.0,False,0,0,2026-07-20公告：恒瑞医药:恒瑞医药关于回购公司A股股份的进展公告,趋势候选,强ETF中的强股，可小仓等待回踩,70.97,8
000858,五粮液,白酒消费,核心池,76.24,4.78,72.8,76.3,72.8,72.76,488549.0,1.67,1.51,20260720161439,0.9828571428571422,-0.07863695937090354,4.725274725274731,4.725274725274731,酒ETF,S,88.07,0.18,71.38,70.04,0.0,False,0,0,2026-07-16公告：五粮液:关于2025年度分红派息实施后调整回购股份价格上限的公告,趋势候选,强ETF中的强股，可小仓等待回踩,70.04,8
688498,源杰科技,光通信,核心池,1403.42,-15.25,1690.0,1690.0,1324.8,1656.0,1264701.0,7.12,1.68,20260720161500,0.21527929901423906,-16.95739644970414,5.934480676328513,-16.95739644970414,通信ETF,E,26.95,-13.13,68.2,0.0,82.61,False,0,0,,行业禁买,通信ETF为E级，停止新增,82.61,1
688409,富创精密,半导体设备,核心池,170.7,-12.01,207.46,207.46,163.0,193.99,245071.0,4.35,1.37,20260720161435,0.17318938371569922,-17.71907837655452,4.723926380368093,-17.71907837655452,半导体ETF,E,21.74,-9.21,66.78,0.0,71.72,False,0,0,,行业禁买,半导体ETF为E级，停止新增,71.72,1
301205,联特科技,光模块/CPO,核心池,178.0,-11.66,211.96,212.82,169.67,201.5,174219.0,10.91,1.39,20260720161430,0.1930475086906144,-16.361244243962037,4.9095302646313455,-16.02189092281563,通信ETF,E,26.95,-9.54,66.48,0.0,71.56,False,0,0,,行业禁买,通信ETF为E级，停止新增,71.56,1
300620,光库科技,光通信,核心池,214.12,-10.37,250.0,254.8,204.44,238.9,298600.0,5.33,1.16,20260720161442,0.1922160444797459,-15.965463108320254,4.734885540990019,-14.351999999999999,通信ETF,E,26.95,-8.25,66.95,0.0,67.77,False,0,0,,行业禁买,通信ETF为E级，停止新增,67.77,1
688183,生益电子,PCB,核心池,102.02,-10.11,116.5,117.49,99.0,113.49,258883.0,2.91,1.05,20260720161433,0.1633315305570577,-13.16707804919568,3.050505050505037,-12.429184549356231,通信ETF,E,26.95,-7.99,66.83,0.0,66.97,False,0,0,,行业禁买,通信ETF为E级，停止新增,66.97,1
002384,东山精密,PCB/消费电子,核心池,217.73,-10.0,241.91,246.0,217.73,241.92,2458374.0,7.85,0.98,20260720161430,0.0,-11.491869918699194,0.0,-9.995452854367326,通信ETF,E,26.95,-7.88,68.78,0.0,66.95,False,0,0,,行业禁买,通信ETF为E级，停止新增,66.95,1
002463,沪电股份,PCB,核心池,115.02,-10.0,130.35,131.48,115.02,127.8,1044070.0,4.55,1.07,20260720161412,0.0,-12.519014298752662,0.0,-11.760644418872268,通信ETF,E,26.95,-7.88,68.04,0.0,66.83,False,0,0,,行业禁买,通信ETF为E级，停止新增,66.83,1
600584,长电科技,封测,核心池,76.99,-9.94,86.0,86.99,76.94,85.49,1628435.0,11.28,0.84,20260720161436,0.004975124378109172,-11.495574203931492,0.06498570314530383,-10.476744186046517,半导体ETF,E,21.74,-7.14,68.42,0.0,65.78,False,0,0,,行业禁买,半导体ETF为E级，停止新增,65.78,1
688072,拓荆科技,半导体设备,核心池,637.05,-8.87,718.79,725.0,621.0,699.08,708548.0,3.76,0.75,20260720161447,0.15432692307692264,-12.13103448275863,2.584541062801926,-11.37188886879339,半导体ETF,E,21.74,-6.07,67.7,0.0,62.45,False,0,0,,行业禁买,半导体ETF为E级，停止新增,62.45,1
688347,华虹公司,晶圆制造,核心池,331.48,7.28,321.0,334.99,303.78,309.0,1063922.0,8.12,1.22,20260720161441,0.8875360461390585,-1.0477924714170528,9.118440977022857,3.264797507788164,半导体ETF,E,21.74,10.08,68.05,62.18,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,62.18,1
300548,博创科技,光通信,核心池,153.35,-7.74,172.98,177.55,147.0,166.21,282177.0,6.39,1.13,20260720161442,0.20785597381342036,-13.629963390594213,4.319727891156466,-11.348132732107752,通信ETF,E,26.95,-5.62,66.9,0.0,59.87,False,0,0,,行业禁买,通信ETF为E级，停止新增,59.87,1
002156,通富微电,封测,核心池,63.0,-7.84,70.02,72.0,61.53,68.36,1347998.0,13.22,0.84,20260720161430,0.14040114613180507,-12.5,2.3890784982935065,-10.025706940874034,半导体ETF,E,21.74,-5.04,68.26,0.0,59.45,False,0,0,,行业禁买,半导体ETF为E级，停止新增,59.45,1
300476,胜宏科技,PCB,核心池,224.11,-7.2,246.7,248.36,213.3,241.5,1049895.0,5.33,1.31,20260720161421,0.3083285795778666,-9.764052182315996,5.067979371776832,-9.156870693149566,通信ETF,E,26.95,-5.08,68.04,0.0,58.43,False,0,0,,行业禁买,通信ETF为E级，停止新增,58.43,1
603986,兆易创新,存储芯片,核心池,432.3,-6.66,479.0,485.87,416.88,463.15,3226037.0,10.66,1.14,20260720161456,0.22351065371793033,-11.025582974869819,3.698906160046067,-9.749478079331942,芯片ETF,E,28.5,-4.5,69.02,0.0,57.25,False,0,0,,行业禁买,芯片ETF为E级，停止新增,57.25,1
600183,生益科技,PCB,核心池,123.34,-6.77,136.0,136.0,119.06,132.29,1185104.0,3.95,1.17,20260720161434,0.2526564344746164,-9.308823529411757,3.5948261380816415,-9.308823529411757,通信ETF,E,26.95,-4.65,68.15,0.0,57.16,False,0,0,,行业禁买,通信ETF为E级，停止新增,57.16,1
300223,北京君正,芯片设计,核心池,143.65,-6.61,162.0,163.9,137.84,153.82,661526.0,10.43,1.09,20260720161415,0.22294704528012285,-12.35509456985967,4.215031921067913,-11.32716049382716,芯片ETF,E,28.5,-4.45,67.64,0.0,56.88,False,0,0,,行业禁买,芯片ETF为E级，停止新增,56.88,1
