code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority
601318,中国平安,保险,核心池,53.23,4.99,50.72,53.27,50.71,50.7,921252.0,1.65,1.8,20260720161456,0.9843749999999976,-0.07508916838747659,4.9694340366791545,4.948738170347,沪深300ETF,A,71.65,3.66,67.93,93.7,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,93.7,10
600276,恒瑞医药,创新药,核心池,55.57,4.47,52.97,55.78,52.9,53.19,621472.0,1.78,0.91,20260720161450,0.9270833333333331,-0.3764790247400507,5.04725897920606,4.908438738908827,医疗ETF,A,78.59,1.95,67.59,90.22,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,90.22,10
601899,紫金矿业,有色金属,核心池,29.35,3.49,28.36,29.45,28.29,28.36,799203.0,1.34,0.97,20260720161457,0.9137931034482777,-0.3395585738539819,3.7469070342877497,3.4908321579689705,有色金属ETF,B,59.53,4.16,67.81,87.69,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,87.69,10
601088,中国神华,煤炭,核心池,46.14,4.98,43.9,46.14,43.73,43.95,258960.0,0.35,1.39,20260720161431,1.0,0.0,5.511090784358563,5.102505694760828,煤炭ETF,S,94.8,-1.61,66.83,87.3,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,87.3,10
600036,招商银行,银行,核心池,38.91,2.34,37.95,38.91,37.89,38.02,553418.0,0.69,1.49,20260720161500,1.0,0.0,2.692003167062529,2.529644268774689,沪深300ETF,A,71.65,1.01,67.49,83.24,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,83.24,10
600536,中国软件,软件,核心池,34.43,5.45,32.01,35.89,31.36,32.65,190963.0,6.76,1.26,20260720161440,0.6777041942604856,-4.067985511284478,9.789540816326525,7.560137457044669,云计算ETF,A,80.14,1.95,66.56,86.16,0.0,8.0,距日内高点较远,True,0.0,0,,核心保留,相对强，继续持有；不因刚回本机械清仓,86.16,7
688981,中芯国际,晶圆制造,核心池,144.0,2.95,145.0,147.47,138.11,139.88,1346494.0,4.7,0.95,20260720161449,0.6292735042735038,-2.353020953414253,4.264716530301915,-0.6896551724137945,半导体ETF,D,31.17,5.75,68.26,68.11,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,半导体ETF为D级，停止新增,68.11,1
002371,北方华创,半导体设备,核心池,676.91,-0.01,704.0,716.66,659.1,677.0,1204071.0,2.41,1.16,20260720161430,0.3094162612925636,-5.546563223843948,2.702169625246542,-3.848011363636372,半导体ETF,D,31.17,2.79,68.16,49.97,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,半导体ETF为D级，停止新增,49.97,1
688012,中微公司,半导体设备,核心池,342.5,-2.34,355.0,361.97,332.99,350.69,1271941.0,3.89,1.1,20260720161444,0.3281573498964798,-5.378898803768273,2.855941619868463,-3.5211267605633756,半导体ETF,D,31.17,0.46,68.21,44.33,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,半导体ETF为D级，停止新增,44.33,1
601138,工业富联,AI服务器,核心池,56.5,-1.89,58.88,59.69,55.04,57.59,848859.0,0.74,1.2,20260720161500,0.3139784946236562,-5.344278773663924,2.652616279069764,-4.042119565217394,人工智能ETF,D,43.06,-4.69,67.86,33.12,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,人工智能ETF为D级，停止新增,33.12,1
688041,海光信息,国产AI芯片,核心池,320.12,5.0,311.0,320.99,299.92,304.88,1129680.0,1.57,1.09,20260720161438,0.9587090650213571,-0.2710364808872545,6.735129367831427,2.9324758842443677,科创芯片ETF,C,55.77,7.05,68.11,94.47,0.0,0.0,,False,0.0,0,,回避,当前无优势,94.47,0
600519,贵州茅台,自动发现,今日自动发现,1327.5,5.95,1270.0,1329.0,1266.0,1253.0,1389835.0,0.85,2.01,20260720161434,0.9761904761904762,-0.11286681715575453,4.857819905213279,4.527559055118102,,C,50.0,5.95,56.29,89.61,0.0,0.0,,False,0.0,0,,回避,当前无优势,89.61,0
601179,中国西电,自动发现,今日自动发现,12.33,5.93,11.75,12.4,11.68,11.64,242806.0,3.92,1.68,20260720161455,0.9027777777777775,-0.5645161290322553,5.565068493150682,4.936170212765956,,C,50.0,5.93,54.77,88.53,0.0,0.0,,False,0.0,0,,回避,当前无优势,88.53,0
603259,药明康德,自动发现,今日自动发现,124.22,5.37,117.74,124.78,117.01,117.89,848473.0,2.8,0.83,20260720161442,0.9279279279279276,-0.4487898701715065,6.161866507136127,5.503652114829283,,C,50.0,5.37,55.86,88.43,0.0,0.0,,False,0.0,0,,回避,当前无优势,88.43,0
300750,宁德时代,自动发现,今日自动发现,376.43,4.56,354.0,377.6,353.8,360.0,1663278.0,1.05,1.11,20260720161409,0.9508403361344532,-0.309851694915253,6.396269078575467,6.336158192090391,,C,50.0,4.56,56.44,87.86,0.0,0.0,,False,0.0,0,,回避,当前无优势,87.86,0
000858,五 粮 液,自动发现,今日自动发现,76.24,4.78,72.8,76.3,72.8,72.76,488549.0,1.67,1.51,20260720161439,0.9828571428571422,-0.07863695937090354,4.725274725274731,4.725274725274731,,C,50.0,4.78,55.38,86.59,0.0,0.0,,False,0.0,0,,回避,当前无优势,86.59,0
600031,三一重工,自动发现,今日自动发现,19.56,4.88,18.65,19.6,18.53,18.65,227720.0,1.39,1.53,20260720161446,0.962616822429904,-0.20408163265307477,5.558553696708035,4.879356568364623,,C,50.0,4.88,54.71,86.59,0.0,0.0,,False,0.0,0,,回避,当前无优势,86.59,0
600809,山西汾酒,自动发现,今日自动发现,122.43,5.33,117.0,123.17,117.0,116.24,202843.0,1.37,1.37,20260720161436,0.8800648298217189,-0.6007956482909749,4.641025641025642,4.641025641025642,,C,50.0,5.33,54.61,86.04,0.0,0.0,,False,0.0,0,,回避,当前无优势,86.04,0
601628,中国人寿,自动发现,今日自动发现,40.6,3.97,38.52,40.66,38.36,39.05,202997.0,0.24,0.89,20260720161447,0.9739130434782629,-0.14756517461878005,5.839416058394176,5.399792315680152,,C,50.0,3.97,54.61,84.98,0.0,0.0,,False,0.0,0,,回避,当前无优势,84.98,0
600602,云赛智联,自动发现,今日自动发现,19.27,4.56,18.25,19.5,18.1,18.43,177792.0,8.73,1.68,20260720161452,0.8357142857142852,-1.179487179487182,6.4640883977900465,5.589041095890401,,C,50.0,4.56,54.5,84.43,0.0,0.0,,False,0.0,0,,回避,当前无优势,84.43,0
600028,中国石化,自动发现,今日自动发现,5.24,4.17,5.05,5.24,5.04,5.03,277003.0,0.57,1.64,20260720161454,1.0,0.0,3.9682539682539764,3.7623762376237657,,C,50.0,4.17,54.88,83.78,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.78,0
000776,广发证券,自动发现,今日自动发现,22.72,5.19,21.92,22.93,21.8,21.6,278297.0,2.09,1.35,20260720161409,0.8141592920353973,-0.9158307893589179,4.220183486238516,3.649635036496335,,C,50.0,5.19,54.89,83.19,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.19,0
600900,长江电力,自动发现,今日自动发现,28.98,3.54,27.75,28.98,27.75,27.99,656761.0,0.94,1.32,20260720161500,1.0,0.0,4.432432432432432,4.432432432432432,,C,50.0,3.54,55.63,83.11,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.11,0
