code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
688256,寒武纪,国产AI芯片,核心池,1370.0,1.48,1320.66,1382.8,1320.66,1350.02,1149130.0,1.35,1.16,20260722120536,0.7940135178628905,-0.9256580850448337,3.736010782487531,3.736010782487531,科创芯片ETF,A,74.84,-0.15,68.12,86.31,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,86.31,10,发酵,93.31,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
601318,中国平安,保险,核心池,53.34,0.85,52.44,53.78,52.01,52.89,346968.0,0.61,1.0,20260722120538,0.7514124293785328,-0.8181480104127892,2.5572005383580176,1.7162471395881118,沪深300ETF,A,71.96,0.12,67.08,82.34,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,82.34,10,启动,87.34,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
688041,海光信息,国产AI芯片,核心池,345.4,0.25,338.0,349.0,333.47,344.53,693893.0,0.88,1.2,20260722120547,0.7681905988409511,-1.0315186246418362,3.5775332113833214,2.189349112426031,科创芯片ETF,A,74.84,-1.38,67.68,80.24,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,80.24,10,发酵,87.24,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,弱于行业,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
601138,工业富联,AI服务器,核心池,62.48,2.46,60.26,62.98,59.88,60.98,640802.0,0.52,1.52,20260722120536,0.8387096774193545,-0.7939028262940573,4.342017368069473,3.6840358446730725,人工智能ETF,A,81.32,-0.49,67.61,88.18,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,88.18,10,高潮,85.18,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,板块可能处于高潮,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
600036,招商银行,银行,核心池,38.14,0.39,37.85,38.29,37.63,37.99,212222.0,0.27,0.91,20260722120534,0.7727272727272737,-0.39174719247845324,1.3553016210470226,0.7661822985469025,沪深300ETF,A,71.96,-0.34,66.65,80.04,0.0,0.0,,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,80.04,10,启动,85.04,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
601899,紫金矿业,有色金属,核心池,32.55,7.75,30.81,32.55,30.81,30.21,1182463.0,1.8,2.55,20260722120541,1.0,0.0,5.647517039922101,5.647517039922101,有色金属ETF,S,91.68,2.9,68.15,93.82,0.0,25.0,当日涨幅超过7%,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,93.82,10,高潮,80.82,B,所属ETF强；明显强于行业；价格接近日内强势区；开盘后仍有承接；基础质量得分较好；市场总体风险较低,当日涨幅过大；板块可能处于高潮；人工设置禁止追高,0.0,二级观察：等待回踩或次日确认,4
002916,深南电路,PCB,核心池,356.2,1.77,345.0,366.98,341.29,350.0,297412.0,1.25,1.1,20260722120533,0.5803814713896446,-2.9374897814594902,4.368718684989292,3.2463768115942093,通信ETF,C,48.45,1.34,66.95,73.13,0.0,0.0,,False,0.0,0,,回避,当前无优势,73.13,0,震荡,76.13,B,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；市场总体风险较低,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
688012,中微公司,半导体设备,核心池,407.74,-0.04,395.34,408.0,389.89,407.89,894573.0,2.39,1.26,20260722120552,0.9856432909994484,-0.06372549019607598,4.578214368155131,3.1365406991450406,半导体ETF,A,70.01,-5.63,67.9,72.02,0.0,0.0,,False,0.0,0,,趋势候选,强ETF中的强股；等待回踩后小仓,72.02,9,分歧,75.02,B,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,弱于行业,0.0,二级观察：等待回踩或次日确认,4
300394,天孚通信,光模块/CPO,核心池,230.71,-0.13,228.0,233.18,225.0,231.0,590250.0,2.37,1.06,20260722120539,0.6980440097799515,-1.059267518655116,2.537777777777772,1.1885964912280667,通信ETF,C,48.45,-0.56,67.54,70.9,0.0,0.0,,False,0.0,0,,回避,当前无优势,70.9,0,震荡,73.9,B,量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；市场总体风险较低,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
600276,恒瑞医药,创新药,核心池,55.18,0.46,54.35,56.49,54.27,54.93,354884.0,1.0,0.99,20260722120528,0.4099099099099086,-2.318994512303063,1.676801179288745,1.5271389144434266,医疗ETF,B,58.92,0.76,67.1,69.76,0.0,0.0,,False,0.0,0,,回避,当前无优势,69.76,0,分歧,72.76,B,量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；市场总体风险较低,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
688981,中芯国际,晶圆制造,核心池,159.5,-0.31,156.0,160.4,154.44,160.0,863407.0,2.74,1.14,20260722120528,0.8489932885906033,-0.5610972568578565,3.276353276353272,2.2435897435897356,半导体ETF,A,70.01,-5.9,67.87,67.65,0.0,0.0,,False,0.0,0,,回避,当前无优势,67.65,0,分歧,70.65,B,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,弱于行业,0.0,二级观察：等待回踩或次日确认,4
002371,北方华创,半导体设备,核心池,799.02,7.31,788.0,809.0,771.0,744.6,1263241.0,2.2,2.12,20260722120515,0.7373684210526311,-1.2336217552534001,3.6342412451361827,1.3984771573604116,半导体ETF,A,70.01,1.72,68.2,77.35,0.0,25.0,当日涨幅超过7%,False,0.0,0,,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,77.35,10,分歧,70.35,B,所属ETF强；明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；基础质量得分较好,当日涨幅过大；人工设置禁止追高,0.0,二级观察：等待回踩或次日确认,4
300308,中际旭创,光模块/CPO,核心池,1118.99,-1.55,1110.0,1138.88,1094.0,1136.55,2572605.0,2.08,1.12,20260722120500,0.5568181818181807,-1.7464526552402493,2.284277879341867,0.8099099099099005,通信ETF,C,48.45,-1.98,68.82,64.24,0.0,0.0,,False,0.0,0,,回避,当前无优势,64.24,0,震荡,67.24,B,量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；市场总体风险较低,弱于行业,0.0,二级观察：等待回踩或次日确认,4
