code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,event_unknown,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
300014,亿纬锂能,自动发现,今日自动发现,55.32,4.38,52.7,55.41,52.41,53.0,309853.0,2.7,1.11,20260723144703,0.9700000000000012,-0.16242555495397104,5.552375500858631,4.971537001897519,,C,50.0,4.38,54.98,85.52,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.52,0,未知,85.52,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300750,宁德时代,自动发现,今日自动发现,385.94,3.67,373.0,386.0,366.01,372.26,1279728.0,0.79,0.91,20260723144703,0.9969984992496247,-0.015544041450776813,5.44520641512527,3.469168900804287,,C,50.0,3.67,56.21,82.21,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,82.21,0,未知,82.21,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000338,潍柴动力,自动发现,今日自动发现,27.98,4.21,27.1,28.08,27.03,26.85,280123.0,2.04,0.94,20260723144703,0.9047619047619065,-0.35612535612534746,3.514613392526811,3.2472324723247237,,C,50.0,4.21,54.89,81.51,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,81.51,0,未知,81.51,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002422,科伦药业,自动发现,今日自动发现,50.6,2.8,47.9,51.0,46.9,49.22,221295.0,3.48,0.97,20260723144703,0.9024390243902443,-0.7843137254901933,7.889125799573571,5.636743215031315,,C,50.0,2.8,54.69,80.84,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,80.84,0,未知,80.84,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002709,天赐材料,自动发现,今日自动发现,37.34,5.9,35.41,37.48,35.18,35.26,291339.0,5.27,1.12,20260723144703,0.9391304347826115,-0.3735325506936893,6.139852188743622,5.450437729454971,,C,50.0,5.9,54.93,89.83,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,89.83,0,未知,79.83,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
601138,工业富联,AI服务器,核心池,62.89,3.59,61.99,64.15,60.99,60.71,960000.0,0.77,1.08,20260723144704,0.601265822784809,-1.9641465315666462,3.1152647975077885,1.451847072108392,人工智能ETF,C,52.79,6.22,67.96,79.16,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,79.16,0,分歧,79.16,A,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
603799,华友钴业,自动发现,今日自动发现,41.32,3.82,39.8,41.92,39.6,39.8,357660.0,4.62,1.23,20260723144704,0.741379310344827,-1.4312977099236623,4.343434343434338,3.8190954773869468,,C,50.0,3.82,55.11,78.41,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,78.41,0,未知,78.41,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600406,国电南瑞,自动发现,今日自动发现,24.43,2.86,23.75,24.5,23.43,23.75,274122.0,1.42,1.22,20260723144702,0.9345794392523362,-0.28571428571428914,4.268032437046521,2.863157894736834,,C,50.0,2.86,54.88,77.78,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,77.78,0,未知,77.78,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002475,立讯精密,自动发现,今日自动发现,61.12,3.31,59.16,61.98,58.65,59.16,706322.0,1.59,0.91,20260723144703,0.7417417417417418,-1.387544369151339,4.21142369991474,3.313049357674114,,C,50.0,3.31,55.7,76.43,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,76.43,0,未知,76.43,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000792,盐湖股份,自动发现,今日自动发现,27.65,5.21,26.35,27.95,26.0,26.28,299394.0,2.08,1.28,20260723144703,0.8461538461538457,-1.073345259391778,6.346153846153846,4.933586337760909,,C,50.0,5.21,54.95,85.59,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,85.59,0,未知,75.59,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600111,北方稀土,自动发现,今日自动发现,40.24,2.86,39.12,40.48,38.8,39.12,268821.0,1.87,1.06,20260723144705,0.8571428571428602,-0.5928853754940566,3.711340206185576,2.862985685071595,,C,50.0,2.86,46.86,74.82,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：北方稀土:北方稀土2026年半年度业绩预增公告,8.0,False,False,回避,当前无优势,74.82,0,未知,74.82,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000807,云铝股份,自动发现,今日自动发现,26.84,4.93,25.88,27.61,25.33,25.58,331504.0,3.58,1.22,20260723144703,0.6622807017543864,-2.7888446215139417,5.961310698776168,3.7094281298299947,,C,50.0,4.93,47.04,74.65,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：云铝股份:云南铝业股份有限公司2026年半年度业绩预告,8.0,False,False,回避,当前无优势,74.65,0,未知,74.65,A,明显强于行业；量能较健康；开盘后仍有承接,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600362,江西铜业,自动发现,今日自动发现,45.07,4.69,43.48,45.85,42.51,43.05,389005.0,4.2,1.45,20260723144704,0.7664670658682634,-1.7011995637949862,6.0221124441308005,3.6568537258509837,,C,50.0,4.69,23.18,74.64,0.0,32.0,事件风险+32,False,0.0,0,风险公告：江西铜业:江西铜业股份有限公司关于分拆所属子公司上市的一般风险提示性公告,32.0,False,False,回避,当前无优势,74.64,0,未知,74.64,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688002,睿创微纳,自动发现,今日自动发现,154.6,3.43,150.0,156.94,148.5,149.48,261007.0,3.63,0.99,20260723144703,0.7227488151658763,-1.4910156747801717,4.107744107744105,3.066666666666662,,C,50.0,3.43,46.83,74.32,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：睿创微纳:2026年半年度业绩预增的自愿性披露公告,8.0,False,False,回避,当前无优势,74.32,0,未知,74.32,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600036,招商银行,银行,核心池,38.96,0.65,38.68,38.99,38.45,38.71,287512.0,0.36,0.65,20260723144702,0.9444444444444422,-0.07694280584765734,1.3263979193758102,0.7238883143743546,沪深300ETF,B,68.17,0.29,66.92,71.89,0.0,0.0,,False,0.0,0,,0.0,False,False,趋势候选,强ETF中的强股；等待回踩后小仓,71.89,9,启动,73.89,B,价格接近日内强势区；开盘后仍有承接；当日未明显追高；基础质量得分较好；板块处于启动阶段,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
000630,铜陵有色,自动发现,今日自动发现,6.28,2.95,6.1,6.35,6.06,6.1,230478.0,3.32,1.43,20260723144703,0.7586206896551745,-1.1023622047244053,3.630363036303641,2.9508196721311553,,C,50.0,2.95,46.73,73.44,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：铜陵有色:2026年半年度业绩预告,8.0,False,False,回避,当前无优势,73.44,0,未知,73.44,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
601600,中国铝业,自动发现,今日自动发现,9.78,3.71,9.41,9.97,9.22,9.43,406097.0,3.17,1.23,20260723144704,0.7466666666666649,-1.905717151454378,6.073752711496727,3.9319872476089257,,C,50.0,3.71,47.22,73.1,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中国铝业:中国铝业2026年半年度业绩预增公告,8.0,False,False,回避,当前无优势,73.1,0,未知,73.1,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
600309,万华化学,自动发现,今日自动发现,75.47,1.99,74.0,75.94,72.48,74.0,343435.0,1.47,0.94,20260723144705,0.8641618497109828,-0.6189096655254134,4.125275938189832,1.986486486486494,,C,50.0,1.99,55.07,72.97,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,72.97,0,未知,72.97,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
601991,大唐发电,自动发现,今日自动发现,7.16,3.02,6.8,7.5,6.63,6.95,630846.0,7.26,1.23,20260723144703,0.6091954022988508,-4.533333333333333,7.993966817496223,5.294117647058827,,C,50.0,3.02,55.6,72.35,0.0,8.0,距日内高点较远,False,0.0,0,,0.0,False,False,回避,当前无优势,72.35,0,未知,72.35,B,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
601318,中国平安,保险,核心池,54.31,0.67,53.8,54.59,53.45,53.95,378358.0,0.66,0.58,20260723144703,0.7543859649122798,-0.5129144531965557,1.6089803554724114,0.9479553903345872,沪深300ETF,B,68.17,0.31,67.16,68.98,0.0,0.0,,False,0.0,0,,0.0,False,False,趋势候选,强ETF中的强股；等待回踩后小仓,68.98,9,启动,70.98,B,价格接近日内强势区；开盘后仍有承接；当日未明显追高；基础质量得分较好；板块处于启动阶段,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
600150,中国船舶,自动发现,今日自动发现,33.71,2.09,33.27,33.87,32.68,33.02,334264.0,1.33,1.02,20260723144702,0.8655462184873975,-0.4723944493652099,3.1517747858017087,1.3225127742711118,,C,50.0,2.09,47.05,70.75,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中国船舶:中国船舶工业股份有限公司2026年半年度业绩预增公告,8.0,False,False,回避,当前无优势,70.75,0,未知,70.75,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
002466,天齐锂业,自动发现,今日自动发现,46.22,5.24,44.49,46.99,44.08,43.92,347591.0,5.15,1.08,20260723144703,0.7353951890034357,-1.638646520536291,4.854809437386565,3.8885142728702915,,C,50.0,5.24,47.08,80.72,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：天齐锂业:2026年半年度业绩预告,8.0,False,False,回避,当前无优势,80.72,0,未知,70.72,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,接近追高区；人工设置禁止追高,0.0,二级候选：等待回踩或尾盘确认,4
688146,中船特气,自动发现,今日自动发现,216.9,3.29,211.2,219.86,205.0,210.0,271005.0,8.7,0.67,20260723144704,0.8008075370121127,-1.3463112890021,5.804878048780493,2.6988636363636465,,C,50.0,3.29,46.87,70.2,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中船特气:中船特气2026年半年度报告；近期业绩公告：中船特气:中船特气2026年半年度报告摘要,8.0,False,False,回避,当前无优势,70.2,0,未知,70.2,B,明显强于行业；价格接近日内强势区；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
001248,华润新能,自动发现,今日自动发现,13.66,2.25,13.17,13.95,12.93,13.36,267461.0,18.7,1.14,20260723144703,0.7156862745098046,-2.078853046594975,5.645784996133019,3.7205770690964313,,C,50.0,2.25,54.85,69.77,0.0,10.0,换手率偏高,False,0.0,0,,0.0,False,False,回避,当前无优势,69.77,0,未知,69.77,B,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
601168,西部矿业,自动发现,今日自动发现,37.9,3.84,36.95,39.4,36.19,36.5,451741.0,5.01,1.58,20260723144702,0.532710280373832,-3.8071065989847663,4.725062171870675,2.571041948579156,,C,50.0,3.84,55.31,69.46,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,69.46,0,未知,69.46,B,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
002594,比亚迪,自动发现,今日自动发现,92.68,1.21,90.77,92.87,90.01,91.57,291397.0,0.91,0.56,20260723144703,0.9335664335664343,-0.20458705717669723,2.966337073658476,2.104219455767331,,C,50.0,1.21,54.93,67.57,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,67.57,0,未知,67.57,B,明显强于行业；价格接近日内强势区；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级候选：等待回踩或尾盘确认,4
600744,华银电力,自动发现,今日自动发现,8.2,3.27,7.73,8.69,7.44,7.94,287685.0,17.35,1.74,20260723144704,0.6079999999999995,-5.638665132336018,10.215053763440851,6.0802069857697205,,C,50.0,3.27,22.92,67.57,0.0,50.0,事件风险+32；换手率偏高；距日内高点较远,False,0.0,0,风险公告：华银电力:大唐华银电力股份有限公司股票交易风险提示公告,32.0,False,False,回避,当前无优势,67.57,0,未知,67.57,B,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高,爆雷指数偏高,0.0,二级候选：等待回踩或尾盘确认,4
