code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
000703,恒逸石化,自动发现,今日自动发现,15.86,4.62,15.07,15.96,14.82,15.16,132703.0,2.24,1.3,20260723134633,0.9122807017543848,-0.6265664160401085,7.017543859649122,5.242203052422023,,C,50.0,4.62,54.25,85.4,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,85.4,0.0,未知,85.4,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002475,立讯精密,自动发现,今日自动发现,61.75,4.38,59.16,61.98,58.65,59.16,617364.0,1.39,1.08,20260723134633,0.9309309309309318,-0.3710874475637227,5.285592497868707,4.37795807978365,,C,50.0,4.38,55.58,84.14,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,84.14,0.0,未知,84.14,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002202,金风科技,自动发现,今日自动发现,18.29,4.45,17.51,18.38,17.38,17.51,166747.0,2.76,1.31,20260723134633,0.9100000000000001,-0.4896626768226331,5.235903337169168,4.454597372929747,,C,50.0,4.45,54.44,83.84,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,83.84,0.0,未知,83.84,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
000792,盐湖股份,自动发现,今日自动发现,27.51,4.68,26.35,27.95,26.0,26.28,261484.0,1.82,1.53,20260723134633,0.7743589743589755,-1.5742397137745945,5.807692307692314,4.40227703984819,,C,50.0,4.68,54.83,82.11,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,82.11,0.0,未知,82.11,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002015,协鑫能科,自动发现,今日自动发现,16.06,4.29,15.4,16.31,14.9,15.4,181069.0,7.15,1.87,20260723134633,0.8226950354609927,-1.5328019619865074,7.785234899328852,4.2857142857142705,,C,50.0,4.29,54.52,81.66,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,81.66,0.0,未知,81.66,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300750,宁德时代,自动发现,今日自动发现,385.01,3.43,373.0,385.93,366.01,372.26,1015012.0,0.63,0.99,20260723134633,0.9538152610441759,-0.23838519938849112,5.191114996858004,3.219839142091141,,C,50.0,3.43,56.01,80.41,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,80.41,0.0,未知,80.41,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300014,亿纬锂能,自动发现,今日自动发现,54.91,3.6,52.7,55.41,52.41,53.0,258926.0,2.26,1.26,20260723134633,0.8333333333333334,-0.9023641941887761,4.770082045411184,4.193548387096757,,C,50.0,3.6,54.83,79.88,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,79.88,0.0,未知,79.88,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
000338,潍柴动力,自动发现,今日自动发现,27.91,3.95,27.1,28.08,27.03,26.85,221977.0,1.62,1.02,20260723134633,0.8380952380952394,-0.6054131054130996,3.2556418793932673,2.988929889298886,,C,50.0,3.95,54.69,79.24,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,79.24,0.0,未知,79.24,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
001896,豫能控股,自动发现,今日自动发现,15.69,3.43,15.03,15.97,14.68,15.17,221898.0,9.46,1.21,20260723134633,0.7829457364341078,-1.7532874139010723,6.880108991825606,4.3912175648702645,,C,50.0,3.43,54.69,78.77,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.77,0.0,未知,78.77,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002422,科伦药业,自动发现,今日自动发现,50.37,2.34,47.9,50.89,46.9,49.22,179399.0,2.84,1.08,20260723134633,0.8696741854636584,-1.0218117508351443,7.398720682302762,5.15657620041754,,C,50.0,2.34,54.51,78.3,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.3,0.0,未知,78.3,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
000408,藏格矿业,自动发现,今日自动发现,79.72,4.13,77.7,80.59,76.62,76.56,144382.0,1.16,1.6,20260723134633,0.7808564231738023,-1.0795384042685208,4.045941007569809,2.599742599742605,,C,50.0,4.13,54.32,78.12,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.12,0.0,未知,78.12,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
603799,华友钴业,自动发现,今日自动发现,41.3,3.77,39.8,41.92,39.6,39.8,311214.0,4.02,1.47,20260723134634,0.7327586206896533,-1.4790076335877922,4.292929292929282,3.7688442211055273,,C,50.0,3.77,54.99,78.03,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.03,0.0,未知,78.03,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
