kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location,etf_score,grade,breadth,median_stock_pct,relative_strength,drawdown_from_recent_peak,alert,life_stage,stage_advice
etf,sh515220,515220,煤炭ETF,1.262,0.56,1.255,1.279,1.252,1.255,53980.0,20260818114059,0.3703703703703719,67.69,B,100.0,1.65,1.47,-1.02,正常,启动,可观察，等待持续性确认
etf,sh516820,516820,机器人ETF,0.366,0.27,0.365,0.367,0.361,0.365,3046.0,20260818114049,0.8333333333333334,65.9,B,50.0,0.27,1.18,0.0,正常,启动,可观察，等待持续性确认
etf,sh510880,510880,红利ETF,3.324,0.61,3.301,3.343,3.301,3.304,41826.0,20260818114051,0.5476190476190426,63.75,B,50.0,0.61,1.52,-0.45,正常,启动,可观察，等待持续性确认
etf,sh515790,515790,光伏ETF,0.885,-0.11,0.882,0.892,0.879,0.886,16985.0,20260818114044,0.46153846153846156,59.6,B,50.0,-0.11,0.8,-0.34,正常,分歧,只留强股，弱股减法
etf,sh518880,518880,黄金ETF,9.068,0.0,9.111,9.126,9.062,9.068,196659.0,20260818114043,0.09375000000000347,55.43,C,50.0,0.0,0.91,-0.38,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh512760,512760,芯片ETF,1.194,-0.91,1.208,1.218,1.178,1.205,36234.0,20260818114054,0.4,55.41,C,50.0,-0.91,0.0,-0.91,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh588200,588200,科创芯片ETF,1.263,-0.94,1.273,1.285,1.245,1.275,258054.0,20260818114036,0.44999999999999696,55.34,C,50.0,-1.74,-0.03,-0.94,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh512480,512480,半导体ETF,1.122,-0.88,1.133,1.146,1.108,1.132,106163.0,20260818114044,0.3684210526315811,51.07,C,33.3,-0.06,0.03,-0.88,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh515880,515880,通信ETF,0.71,-1.25,0.719,0.721,0.698,0.719,232883.0,20260818114046,0.5217391304347826,47.81,C,25.0,-2.21,-0.34,-1.25,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh512660,512660,军工ETF,1.159,-1.11,1.173,1.176,1.154,1.172,17279.0,20260818114034,0.22727272727273232,43.99,D,50.0,-1.11,-0.2,-1.11,橙色：趋势破坏，暂停新开仓,震荡,等待方向，不强行交易
etf,sh515030,515030,新能源车ETF,1.677,-1.29,1.698,1.708,1.674,1.699,9849.0,20260818114053,0.08823529411765033,41.47,D,50.0,-1.29,-0.38,-1.29,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh512170,512170,医疗ETF,0.352,-0.28,0.352,0.354,0.349,0.353,47511.0,20260818114054,0.6,37.98,D,0.0,-0.61,0.63,-0.85,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh512690,512690,酒ETF,0.429,-0.23,0.43,0.433,0.428,0.43,26625.0,20260818114044,0.2,37.31,D,50.0,-0.23,0.68,-4.45,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh510300,510300,沪深300ETF,4.764,-0.77,4.794,4.803,4.751,4.801,230898.0,20260818114035,0.25,31.77,D,0.0,-0.7,0.14,-0.77,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh512880,512880,证券ETF,1.074,-1.74,1.091,1.092,1.073,1.093,137035.0,20260818114046,0.052631578947373955,29.02,E,50.0,-1.74,-0.83,-3.16,正常,退潮,停止新增，反弹处理弱股
etf,sh515980,515980,人工智能ETF,1.091,-2.15,1.113,1.113,1.079,1.115,18869.0,20260818114041,0.35294117647058826,26.44,E,0.0,-3.12,-1.24,-2.15,正常,退潮,停止新增，反弹处理弱股
etf,sh515400,515400,大数据ETF,0.896,-2.93,0.917,0.917,0.889,0.923,13689.0,20260818114036,0.25,26.44,E,50.0,-2.93,-2.02,-2.93,正常,退潮,停止新增，反弹处理弱股
etf,sh512400,512400,有色金属ETF,1.918,-1.54,1.933,1.96,1.911,1.948,57404.0,20260818114045,0.1428571428571409,17.21,E,0.0,-1.26,-0.63,-4.96,正常,退潮,停止新增，反弹处理弱股
etf,sh516510,516510,云计算ETF,1.744,-2.84,1.779,1.783,1.732,1.795,16743.0,20260818114052,0.23529411764705935,12.7,E,0.0,-2.75,-1.93,-2.84,正常,退潮,停止新增，反弹处理弱股
