code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open
688981,中芯国际,晶圆制造,核心池,123.51,-1.55,122.0,126.99,121.88,125.45,604866.0,2.44,0.75,20260806143926,0.3189823874755401,-2.7403732577368167,1.3373810305218337,1.2377049180327893
002371,北方华创,半导体设备,核心池,738.56,0.59,717.5,764.68,709.0,734.2,744192.0,1.39,0.76,20260806143924,0.5308908045977007,-3.415807919652669,4.169252468265161,2.935191637630652
688012,中微公司,半导体设备,核心池,360.51,0.7,348.0,373.44,347.55,358.0,1002099.0,2.95,0.89,20260806143926,0.5005793742757816,-3.4624035989717195,3.7289598618903685,3.5948275862068835
688041,海光信息,国产AI芯片,核心池,291.0,0.74,283.32,294.8,282.32,288.85,437207.0,0.65,0.63,20260806143924,0.69551282051282,-1.2890094979647215,3.0745253612921575,2.710715798390506
688256,寒武纪,国产AI芯片,核心池,1157.5,1.81,1103.0,1185.0,1095.0,1136.9,1321810.0,1.84,0.74,20260806143926,0.6944444444444444,-2.320675105485237,5.707762557077634,4.941069809610155
300308,中际旭创,光模块/CPO,核心池,955.02,0.77,901.02,995.0,882.55,947.74,3784831.0,3.63,0.78,20260806143924,0.6444642063139173,-4.018090452261314,8.211432780012462,5.993207697942338
300502,新易盛,光模块/CPO,核心池,420.68,-0.85,413.0,439.84,397.09,424.3,2039850.0,3.88,0.72,20260806143924,0.5518128654970768,-4.356129501636952,5.940718728751682,1.8595641646489192
300394,天孚通信,光模块/CPO,核心池,224.29,3.43,208.0,228.0,202.0,216.85,1393492.0,5.91,1.05,20260806143924,0.857307692307692,-1.6271929824561493,11.034653465346533,7.83173076923076
601138,工业富联,AI服务器,核心池,68.22,3.49,65.55,69.8,64.87,65.92,1557450.0,1.16,1.47,20260806143926,0.6795131845841783,-2.2636103151862486,5.164174502851848,4.0732265446224325
002916,深南电路,PCB,核心池,351.88,0.77,340.0,367.29,338.08,349.18,362797.0,1.54,0.88,20260806143924,0.4724409448818896,-4.195594761632504,4.081874112636075,3.4941176470588253
600536,中国软件,软件,核心池,32.78,-2.24,33.01,33.94,32.43,33.53,83786.0,3.0,1.12,20260806143924,0.23178807947019991,-3.417796110783722,1.0792476102374327,-0.6967585580127111
601088,中国神华,煤炭,核心池,43.94,2.19,42.9,44.27,42.9,43.0,159590.0,0.22,1.04,20260806143924,0.7591240875912377,-0.7454257962502986,2.4242424242424176,2.4242424242424176
601318,中国平安,保险,核心池,53.57,-0.83,54.0,54.21,53.16,54.02,333942.0,0.59,0.75,20260806143925,0.3904761904761924,-1.1805939863493875,0.7712565838976726,-0.796296296296295
600036,招商银行,银行,核心池,39.01,0.18,39.0,39.15,38.47,38.94,310211.0,0.39,0.71,20260806143926,0.7941176470588226,-0.3575989782886313,1.4036911879386604,0.02564102564102111
600276,恒瑞医药,创新药,核心池,52.07,-2.75,53.65,53.81,52.05,53.54,423847.0,1.26,1.32,20260806143926,0.011363636363638107,-3.233599702657497,0.03842459173872825,-2.9450139794967356
601899,紫金矿业,有色金属,核心池,34.4,0.88,35.38,35.8,34.15,34.1,1332712.0,1.85,1.46,20260806143926,0.15151515151515166,-3.9106145251396662,0.7320644216691097,-2.7699265121537753
300285,国瓷材料,自动发现,历史动态池,68.49,1.81,64.51,70.33,62.8,67.27,1157201.0,20.2,1.15,20260806143924,0.7556440903054444,-2.616237736385618,9.060509554140129,6.169586110680503
002138,顺络电子,自动发现,历史动态池,48.1,-3.02,48.52,49.83,47.11,49.6,166955.0,4.5,0.69,20260806143924,0.363970588235295,-3.471804134055778,2.1014646571853257,-0.8656224237427845
300209,行云科技,自动发现,历史动态池,33.92,-8.25,35.19,37.35,33.71,36.97,710371.0,26.87,1.52,20260806143924,0.05769230769230792,-9.183400267737618,0.6229605458321075,-3.608979823813574
300738,奥飞数据,自动发现,历史动态池,22.89,-3.09,23.03,23.48,22.73,23.62,172175.0,7.59,0.95,20260806143924,0.2133333333333335,-2.512776831345831,0.7039155301363786,-0.6079027355623157
300750,宁德时代,自动发现,历史动态池,388.01,-4.24,410.0,410.0,384.16,405.2,1671803.0,1.0,1.43,20260806143924,0.14899380804953444,-5.363414634146347,1.0021865889212833,-5.363414634146347
002415,海康威视,自动发现,历史动态池,37.46,-2.55,38.09,38.15,37.12,38.44,349794.0,1.03,0.79,20260806143924,0.33009708737864374,-1.8086500655307924,0.9159482758620774,-1.6539774218955139
002281,光迅科技,自动发现,今日自动发现,174.41,1.67,165.39,180.0,162.0,171.55,818262.0,6.02,1.13,20260806143924,0.6894444444444443,-3.1055555555555614,7.660493827160497,5.453775923574589
600176,中国巨石,自动发现,今日自动发现,40.25,2.47,38.5,41.97,38.17,39.28,1244032.0,7.8,1.05,20260806143926,0.5473684210526315,-4.098165356206806,5.449305737490162,4.545454545454541
002463,沪电股份,自动发现,今日自动发现,116.89,1.12,112.74,121.87,112.01,115.6,654238.0,2.9,0.88,20260806143924,0.49492900608519225,-4.086321490112422,4.356753861262375,3.6810360120631547
600487,亨通光电,自动发现,今日自动发现,55.7,2.37,53.87,57.18,53.68,54.41,1499983.0,11.03,1.32,20260806143925,0.5771428571428581,-2.5883175935641822,3.7630402384500883,3.3970670131798775
002475,立讯精密,自动发现,今日自动发现,55.85,-0.04,54.15,57.95,53.7,55.87,910391.0,2.23,1.0,20260806143924,0.5058823529411761,-3.6238136324417636,4.003724394785846,3.1394275161588325
000725,京东方Ａ,自动发现,今日自动发现,5.93,-0.67,5.84,6.08,5.78,5.97,1032214.0,4.93,0.97,20260806143924,0.4999999999999985,-2.4671052631578982,2.595155709342545,1.5410958904109595
000988,华工科技,自动发现,今日自动发现,102.42,1.98,97.32,106.27,97.03,100.43,770346.0,7.49,1.23,20260806143924,0.5833333333333337,-3.622847464006773,5.5549829949500085,5.240443896424174
688347,华虹宏力,自动发现,今日自动发现,256.6,1.62,242.6,261.99,242.6,252.5,550280.0,5.31,0.85,20260806143924,0.7220216606498204,-2.057330432459248,5.770816158285252,5.770816158285252
688498,源杰科技,自动发现,今日自动发现,1329.08,2.39,1258.09,1367.8,1239.33,1298.0,618603.0,3.85,0.66,20260806143926,0.6986066786020081,-2.830823219768974,7.241816142593183,5.642680571342273
000938,紫光股份,自动发现,今日自动发现,37.69,2.03,36.01,38.47,35.88,36.94,1357932.0,12.76,1.23,20260806143924,0.698841698841698,-2.0275539381336083,5.044593088071325,4.665370730352669
002384,东山精密,自动发现,今日自动发现,186.8,-1.08,180.0,195.55,178.99,188.83,1501808.0,5.78,0.82,20260806143924,0.4716183574879228,-4.474558936333417,4.363372255433262,3.777777777777791
300604,长川科技,自动发现,今日自动发现,278.98,2.57,262.0,288.96,261.06,272.0,697279.0,5.13,0.82,20260806143924,0.642293906810037,-3.453765227021033,6.864322377997412,6.480916030534356
600183,生益科技,自动发现,今日自动发现,127.01,3.44,120.0,130.99,119.5,122.79,906892.0,2.99,1.08,20260806143924,0.6536118363794603,-3.0383998778532706,6.2845188284518905,5.841666666666678
600522,中天科技,自动发现,今日自动发现,32.1,0.31,31.25,33.09,31.25,32.0,873199.0,7.95,1.19,20260806143925,0.4619565217391304,-2.9918404351767958,2.7200000000000113,2.7200000000000113
603986,兆易创新,自动发现,今日自动发现,381.64,-0.99,363.0,394.94,363.0,385.44,2189852.0,8.67,0.83,20260806143925,0.5835942391984968,-3.367600141793692,5.134986225895322,5.134986225895322
688072,拓荆科技,自动发现,今日自动发现,680.86,0.44,646.0,709.0,646.0,677.88,532476.0,2.77,0.91,20260806143925,0.5533333333333336,-3.9689703808180488,5.396284829721365,5.396284829721365
000021,深科技,自动发现,今日自动发现,39.39,1.78,37.56,40.78,37.56,38.7,606751.0,9.8,1.14,20260806143924,0.5683229813664593,-3.4085335948994655,4.872204472843444,4.872204472843444
688008,澜起科技,自动发现,今日自动发现,207.69,-2.03,203.8,213.3,202.0,212.0,926853.0,3.91,0.87,20260806143925,0.5035398230088488,-2.630098452883267,2.8168316831683082,1.9087340529931218
000977,浪潮信息,自动发现,今日自动发现,76.77,-0.56,75.68,77.99,75.11,77.2,638771.0,5.69,0.99,20260806143924,0.5763888888888886,-1.5643031157840714,2.2100918652642854,1.4402748414376276
301308,江波龙,自动发现,今日自动发现,362.6,-0.64,346.16,372.99,344.51,364.92,657577.0,6.52,0.85,20260806143924,0.6351825842696637,-2.785597469101042,5.250936112159299,4.749248902241732
300408,三环集团,自动发现,今日自动发现,125.17,-2.36,124.0,129.65,120.8,128.19,895735.0,3.84,0.88,20260806143924,0.4937853107344633,-3.455456999614348,3.617549668874176,0.943548387096782
300136,信维通信,自动发现,今日自动发现,65.07,1.75,62.17,66.94,62.17,63.95,457766.0,8.54,1.21,20260806143924,0.6079664570230595,-2.7935464595159942,4.664629242399854,4.664629242399854
000063,中兴通讯,自动发现,今日自动发现,34.7,-0.12,34.2,34.98,33.95,34.74,464467.0,3.36,1.17,20260806143924,0.7281553398058295,-0.8004574042309698,2.2091310751104487,1.4619883040935644
600111,北方稀土,自动发现,今日自动发现,41.96,0.45,42.14,43.2,41.5,41.77,424383.0,2.77,1.96,20260806143925,0.2705882352941177,-2.8703703703703787,1.1084337349397622,-0.42714760322734024
603993,洛阳钼业,自动发现,今日自动发现,20.33,-0.68,21.0,21.17,20.23,20.47,633869.0,1.75,1.45,20260806143925,0.10638297872340184,-3.967879074161562,0.4943153732080985,-3.190476190476199
601869,长飞光纤,自动发现,今日自动发现,324.7,3.94,310.56,333.0,310.5,312.4,569011.0,4.36,1.43,20260806143925,0.6311111111111106,-2.492492492492493,4.573268921094997,4.553065430190628
688525,佰维存储,自动发现,今日自动发现,229.92,-1.35,222.0,237.7,219.48,233.07,789243.0,7.34,0.88,20260806143924,0.5729967069154774,-3.273033235170386,4.756697648988517,3.5675675675675533
002156,通富微电,自动发现,今日自动发现,60.38,4.1,56.01,62.81,56.01,58.0,888593.0,9.78,1.0,20260806143924,0.6426470588235297,-3.8688106989332893,7.802178182467423,7.802178182467423
600105,永鼎股份,自动发现,今日自动发现,37.5,2.6,35.6,38.23,35.39,36.55,650197.0,12.05,0.8,20260806143924,0.742957746478874,-1.909495160868424,5.962136196665724,5.3370786516853785
000426,兴业银锡,自动发现,今日自动发现,37.36,2.92,38.11,38.91,36.94,36.3,465469.0,6.91,1.88,20260806143924,0.2131979695431482,-3.9835517861732117,1.1369788846778528,-1.9679874048806112
300476,胜宏科技,自动发现,今日自动发现,250.18,5.85,228.01,260.53,227.0,236.35,1727337.0,8.03,1.64,20260806143924,0.691321204891143,-3.972671093540081,10.211453744493394,9.723257751852987
