code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,held,cost,position_pnl,event_note,signal,action,final_score,priority
688052,纳芯微,当前持仓,持仓,199.53,-8.36,217.98,222.72,196.59,217.73,92830.0,3.14,1.15,20260717161430,0.1125143513203214,-10.412176724137934,1.495498245078597,-8.464079273327819,,C,50.0,-8.36,65.94,0.0,62.63,True,260.8,-23.49,,持仓观察,暂不补仓；等待反弹质量再决定,62.63,4
002916,深南电路,PCB,核心池,334.0,-8.24,358.0,359.99,327.6,364.0,482658.0,2.14,0.86,20260717161433,0.19759184933621426,-7.219644990138619,1.9536019536019467,-6.703910614525144,通信ETF,E,0.0,1.73,67.37,10.39,53.5,True,403.8,-17.29,,持仓观察,暂不补仓；等待反弹质量再决定,53.5,4
688120,华海清科,半导体设备,核心池,241.67,-6.49,258.43,265.5,240.88,258.43,501571.0,4.0,0.98,20260717161443,0.03208773354995905,-8.975517890772133,0.32796413151776616,-6.485315172387118,半导体ETF,E,7.53,1.19,67.4,8.88,49.61,True,327.26,-26.15,,持仓观察,暂不补仓；等待反弹质量再决定,49.61,4
688347,华虹公司,晶圆制造,核心池,309.0,-5.75,321.9,346.66,307.89,327.85,1145002.0,8.57,1.33,20260717161444,0.028630384317771797,-10.863670455201069,0.3605183669492362,-4.007455731593657,半导体ETF,E,7.53,1.93,68.12,14.42,47.5,True,360.5,-14.29,,持仓观察,暂不补仓；等待反弹质量再决定,47.5,4
688525,佰维存储,存储芯片,核心池,252.86,-15.78,287.0,292.76,252.1,300.25,1357281.0,10.65,1.27,20260717161440,0.018691588785047206,-13.628911053422588,0.3014676715589193,-11.895470383275253,芯片ETF,E,7.32,-8.78,68.27,0.0,77.58,True,353.7,-28.51,,持仓减法,行业弱且个股更弱；反弹优先减1手,77.58,3
300394,天孚通信,光模块/CPO,核心池,211.37,-13.42,238.68,241.0,207.0,244.13,1196238.0,5.02,1.24,20260717161421,0.128529411764706,-12.294605809128633,2.111111111111108,-11.442098206804086,通信ETF,E,0.0,-3.45,68.16,0.0,69.16,True,271.0,-22.0,,持仓减法,行业弱且个股更弱；反弹优先减1手,69.16,3
688498,源杰科技,光通信,核心池,1656.0,-9.31,1750.0,1752.94,1525.0,1825.98,1021011.0,5.07,1.27,20260717161455,0.5747126436781608,-5.530137939689894,8.59016393442622,-5.371428571428572,通信ETF,E,0.0,0.66,68.02,16.0,86.81,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,86.81,1
301308,江波龙,存储芯片,核心池,396.0,-14.58,454.5,459.89,395.37,463.59,954196.0,8.09,1.21,20260717161406,0.009764414135151823,-13.892452542999411,0.15934441156384427,-12.871287128712872,芯片ETF,E,7.32,-7.58,67.96,0.0,73.93,False,0.0,0.0,,行业禁买,芯片ETF为E级，停止新增,73.93,1
688017,绿的谐波,机器人,核心池,326.1,-13.87,382.85,388.0,322.0,378.61,552204.0,8.7,1.28,20260717161450,0.062121212121212466,-15.953608247422679,1.273291925465836,-14.823037743241475,机器人ETF,E,15.19,-9.03,67.48,0.0,73.14,False,0.0,0.0,,行业禁买,机器人ETF为E级，停止新增,73.14,1
301205,联特科技,光模块/CPO,核心池,201.5,-14.26,235.0,236.0,199.63,235.0,159607.0,8.98,1.11,20260717161415,0.05141600219961519,-14.618644067796616,0.9367329559685444,-14.255319148936174,通信ETF,E,0.0,-4.29,66.41,0.0,71.4,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,71.4,1
