kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location,etf_score,grade,breadth,median_stock_pct,relative_strength,drawdown_from_recent_peak,alert
etf,sh510880,510880,红利ETF,3.135,-0.35,3.147,3.175,3.133,3.146,81754.0,20260717161432,0.047619047619042586,65.45,B,100.0,1.97,4.49,-1.26,正常
etf,sh510300,510300,沪深300ETF,4.589,-3.45,4.72,4.73,4.546,4.753,1464879.0,20260717161444,0.23369565217391364,50.1,C,80.0,0.41,1.39,-2.98,黄色：高位降温，停止追高
etf,sh515220,515220,煤炭ETF,1.138,-1.81,1.155,1.17,1.137,1.159,171809.0,20260717161435,0.03030303030302704,44.15,D,50.0,-0.68,3.03,-2.74,橙色：趋势破坏，暂停新开仓
etf,sh518880,518880,黄金ETF,8.311,-0.62,8.291,8.326,8.256,8.363,235805.0,20260717161452,0.7857142857142785,41.25,D,0.0,-4.35,4.22,-0.18,橙色：趋势破坏，暂停新开仓
etf,sh515030,515030,新能源车ETF,1.553,-3.0,1.595,1.61,1.54,1.601,15994.0,20260717161500,0.18571428571428414,32.95,D,20.0,-1.45,1.84,-3.54,橙色：趋势破坏，暂停新开仓
etf,sh515790,515790,光伏ETF,0.797,-3.51,0.821,0.826,0.789,0.826,31924.0,20260717161450,0.21621621621621687,32.19,D,25.0,-2.46,1.33,-3.51,橙色：趋势破坏，暂停新开仓
etf,sh512880,512880,证券ETF,1.097,-1.44,1.11,1.123,1.094,1.113,393889.0,20260717161453,0.10344827586206554,31.59,D,0.0,-1.78,3.4,-2.32,橙色：趋势破坏，暂停新开仓
etf,sh512690,512690,酒ETF,0.413,-1.67,0.42,0.425,0.411,0.42,97418.0,20260717161450,0.14285714285714285,31.27,D,0.0,-1.79,3.17,-2.82,橙色：趋势破坏，暂停新开仓
etf,sh516510,516510,云计算ETF,1.627,-6.49,1.709,1.73,1.61,1.74,33638.0,20260717161432,0.141666666666666,20.66,E,33.3,-5.77,-1.65,-5.95,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh512660,512660,军工ETF,1.062,-5.18,1.119,1.119,1.054,1.12,45407.0,20260717161443,0.12307692307692329,20.17,E,12.5,-4.46,-0.34,-5.09,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh512170,512170,医疗ETF,0.318,-4.5,0.331,0.333,0.317,0.333,102125.0,20260717161443,0.0625,17.63,E,0.0,-5.41,0.34,-4.5,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh512400,512400,有色金属ETF,1.636,-5.16,1.702,1.706,1.626,1.725,94153.0,20260717161452,0.125,17.32,E,0.0,-3.69,-0.32,-4.1,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh516820,516820,机器人ETF,0.334,-4.84,0.35,0.351,0.334,0.351,8809.0,20260717161438,0.0,15.19,E,0.0,-6.03,0.0,-4.84,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh515400,515400,大数据ETF,0.835,-6.7,0.884,0.891,0.829,0.895,22260.0,20260717161454,0.0967741935483871,12.59,E,0.0,-2.2,-1.86,-6.29,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh512480,512480,半导体ETF,1.07,-7.68,1.139,1.155,1.062,1.159,221168.0,20260717161436,0.08602150537634419,7.53,E,6.7,-6.81,-2.84,-7.36,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh512760,512760,芯片ETF,1.155,-7.0,1.219,1.241,1.144,1.242,96422.0,20260717161431,0.11340206185567112,7.32,E,0.0,-10.95,-2.16,-6.93,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh588200,588200,科创芯片ETF,3.613,-8.04,3.866,3.929,3.584,3.929,836308.0,20260717161448,0.08405797101449257,4.28,E,0.0,-6.93,-3.2,-8.04,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh515980,515980,人工智能ETF,1.034,-8.98,1.118,1.12,1.022,1.136,50530.0,20260717161433,0.12244897959183673,0.42,E,0.0,-8.61,-4.14,-7.68,红色：全球/行业共振回撤，停止新增，反弹优先减弱
etf,sh515880,515880,通信ETF,0.659,-9.97,0.716,0.716,0.659,0.732,719925.0,20260717161434,0.0,0.0,E,6.2,-10.43,-5.13,-7.96,红色：全球/行业共振回撤，停止新增，反弹优先减弱
